date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:59:08	55/55	---M-Z	200	added ('OK')	text/plain	date:Wed,%2029%20Jul%202015%2006:29:07%20GMT	http://clinico.creaws.com/robots.txt		(from )
11:59:10	64675/64675	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20Jul%202015%2006:29:08%20GMT	http://clinico.creaws.com/	D:/R%20&%20D/Dental%20Product/Clinico/clinico.creaws.com/index.html	(from )
11:59:10	4286/4286	---M--	200	added ('OK')	image/x-icon	etag:%2210be-519b676a11880%22	http://clinico.creaws.com/wp-content/uploads/bfi_thumb/favicon-2zec7mtadm2e9hstrf2xai.ico	D:/R%20&%20D/Dental%20Product/Clinico/clinico.creaws.com/wp-content/uploads/bfi_thumb/favicon-2zec7mtadm2e9hstrf2xai.ico	(from http://clinico.creaws.com/)
11:59:11	1103/1103	---M-Z	200	added ('OK')	text/css	etag:%2244f-519657dc33381-gzip%22	http://clinico.creaws.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.2.1	D:/R%20&%20D/Dental%20Product/Clinico/clinico.creaws.com/wp-content/plugins/contact-form-7/includes/css/styles50fa.css	(from http://clinico.creaws.com/)
11:59:11	55177/55177	---M-Z	200	added ('OK')	text/css	etag:%22d789-5196596244d2d-gzip%22	http://clinico.creaws.com/wp-content/plugins/revslider/rs-plugin/css/settings.css?ver=4.6.93	D:/R%20&%20D/Dental%20Product/Clinico/clinico.creaws.com/wp-content/plugins/revslider/rs-plugin/css/settings9cbc.css	(from http://clinico.creaws.com/)
11:59:11	1558/1558	---M-Z	200	added ('OK')	text/css	etag:%22616-511f1d8d32976-gzip%22	http://clinico.creaws.com/wp-content/plugins/wp-flexible-map/css/styles.css?ver=1.9.2	D:/R%20&%20D/Dental%20Product/Clinico/clinico.creaws.com/wp-content/plugins/wp-flexible-map/css/styles2c00.css	(from http://clinico.creaws.com/)
11:59:12	110210/110210	---M-Z	200	added ('OK')	text/css	etag:%221ae82-519b6765f4a34-gzip%22	http://clinico.creaws.com/wp-content/themes/clinico/css/main.css?ver=4.2.3	D:/R%20&%20D/Dental%20Product/Clinico/clinico.creaws.com/wp-content/themes/clinico/css/main9c92.css	(from http://clinico.creaws.com/)
11:59:12	742/742	---M-Z	200	added ('OK')	text/xml	etag:%22707db7872b9a8c7f0785b2a1d632e673-gzip%22	http://clinico.creaws.com/comments/feed/	D:/R%20&%20D/Dental%20Product/Clinico/clinico.creaws.com/comments/feed/index.html	(from http://clinico.creaws.com/)
11:59:12	3637/3637	---M-Z	200	added ('OK')	text/css	etag:%22e35-519b6765f0802-gzip%22	http://clinico.creaws.com/wp-content/themes/clinico/css/layout.css?ver=4.2.3	D:/R%20&%20D/Dental%20Product/Clinico/clinico.creaws.com/wp-content/themes/clinico/css/layout9c92.css	(from http://clinico.creaws.com/)
11:59:13	25642/25642	---M-Z	200	added ('OK')	text/xml	etag:%2263c6cc075ce5686679a233d30de7c360-gzip%22	http://clinico.creaws.com/feed/	D:/R%20&%20D/Dental%20Product/Clinico/clinico.creaws.com/feed/index.html	(from http://clinico.creaws.com/)
11:59:13	28747/28747	---M-Z	200	added ('OK')	text/css	etag:%22704b-519b6765d2f37-gzip%22	http://clinico.creaws.com/wp-content/themes/clinico/css/font-awesome.css?ver=4.2.3	D:/R%20&%20D/Dental%20Product/Clinico/clinico.creaws.com/wp-content/themes/clinico/css/font-awesome9c92.css	(from http://clinico.creaws.com/)
11:59:13	25252/25252	---MC-	200	added ('OK')	text/javascript	date:Thu,%2009%20Jul%202015%2023:50:56%20GMT	http://www.google-analytics.com/analytics.js	D:/R%20&%20D/Dental%20Product/Clinico/www.google-analytics.com/analytics.js	(from http://clinico.creaws.com/)
11:59:13	4991/4991	---M-Z	200	added ('OK')	text/css	etag:%22137f-519b6765d370d-gzip%22	http://clinico.creaws.com/wp-content/themes/clinico/css/jquery.fancybox.css?ver=4.2.3	D:/R%20&%20D/Dental%20Product/Clinico/clinico.creaws.com/wp-content/themes/clinico/css/jquery.fancybox9c92.css	(from http://clinico.creaws.com/)
11:59:13	11598/11598	---M-Z	200	added ('OK')	text/css	etag:%222d4e-519b6765c8eff-gzip%22	http://clinico.creaws.com/wp-content/themes/clinico/css/color-1.css?ver=4.2.3	D:/R%20&%20D/Dental%20Product/Clinico/clinico.creaws.com/wp-content/themes/clinico/css/color-19c92.css	(from http://clinico.creaws.com/)
11:59:14	15342/15342	---M-Z	200	added ('OK')	text/calendar	date:Wed,%2029%20Jul%202015%2006:29:13%20GMT	http://clinico.creaws.com/events/?ical=1	D:/R%20&%20D/Dental%20Product/Clinico/clinico.creaws.com/events/indexedf3.html	(from http://clinico.creaws.com/)
11:59:14	28607/28607	---M-Z	200	added ('OK')	text/css	etag:%226fbf-519b676824e4e-gzip%22	http://clinico.creaws.com/wp-content/themes/clinico/woocommerce/css/woocommerce.css?ver=4.2.3	D:/R%20&%20D/Dental%20Product/Clinico/clinico.creaws.com/wp-content/themes/clinico/woocommerce/css/woocommerce9c92.css	(from http://clinico.creaws.com/)
11:59:14	699/699	---M-Z	200	added ('OK')	text/xml	etag:%22707db7872b9a8c7f0785b2a1d632e673-gzip%22	http://clinico.creaws.com/home-3/feed/	D:/R%20&%20D/Dental%20Product/Clinico/clinico.creaws.com/home-3/feed/index.html	(from http://clinico.creaws.com/)
11:59:14	910/910	---M-Z	200	added ('OK')	text/css	etag:%2238e-519b677c1d100-gzip%22	http://clinico.creaws.com/wp-content/themes/clinico-child/style.css?ver=4.2.3	D:/R%20&%20D/Dental%20Product/Clinico/clinico.creaws.com/wp-content/themes/clinico-child/style9c92.css	(from http://clinico.creaws.com/)
11:59:15	7200/7200	---M-Z	200	added ('OK')	application/javascript	etag:%221c20-4fde46f3f586e-gzip%22	http://clinico.creaws.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.2.1	D:/R%20&%20D/Dental%20Product/Clinico/clinico.creaws.com/wp-includes/js/jquery/jquery-migrate.min1576.js	(from http://clinico.creaws.com/)
11:59:16	1389/1389	---M-Z	200	added ('OK')	application/javascript	etag:%2256d-5084b365d3320-gzip%22	http://clinico.creaws.com/wp-content/themes/clinico-child/tuner/js/scripts.js?ver=4.2.3	D:/R%20&%20D/Dental%20Product/Clinico/clinico.creaws.com/wp-content/themes/clinico-child/tuner/js/scripts9c92.js	(from http://clinico.creaws.com/)
11:59:16	95952/95952	---M-Z	200	added ('OK')	application/javascript	etag:%22176d0-51472d99e1ba4-gzip%22	http://clinico.creaws.com/wp-includes/js/jquery/jquery.js?ver=1.11.2	D:/R%20&%20D/Dental%20Product/Clinico/clinico.creaws.com/wp-includes/js/jquery/jquery4a80.js	(from http://clinico.creaws.com/)
11:59:17	18854/18854	---M-Z	200	added ('OK')	application/javascript	etag:%2249a6-519b6767e0cda-gzip%22	http://clinico.creaws.com/wp-content/themes/clinico/js/modernizr.js?ver=1	D:/R%20&%20D/Dental%20Product/Clinico/clinico.creaws.com/wp-content/themes/clinico/js/modernizr68b3.js	(from http://clinico.creaws.com/)
11:59:18	40581/40581	---M-Z	200	added ('OK')	application/javascript	etag:%229e85-519b6767e202b-gzip%22	http://clinico.creaws.com/wp-content/themes/clinico/js/owl.carousel.js?ver=1	D:/R%20&%20D/Dental%20Product/Clinico/clinico.creaws.com/wp-content/themes/clinico/js/owl.carousel68b3.js	(from http://clinico.creaws.com/)
